,retailer_id,outlet_name,outlet_type_id,type_name,outlet_photo,lat,longi,street_address,pin_code,district,taluka,owner_name,contact_no,landmark,u_name,user_contact_no,beat_number,sub_beat,full_beat
740,88228,PK special khar & sweet ,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/TKU40113272-PK special khar & sweet 20240905_17101925fm.jpeg,14.4905271,75.8948685,Kondajji main road Yaragonti Davanagere,577004,Davangere,Davanagere,Kirshnappa,9986869371,Yaragonti,Unknown User,9632388953,1,V,1V
778,88784,Bharathi provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/MEP04609453-Bharathi provision store20240810_1528dbiff.jpeg,14.4804437,75.907463,"Budal road rajivgandi badvani 
RTO Davanagere",577006,Davangere,Davanagere,Chanviray,9611771677,RTO,Unknown User,9632388953,1,U,1U
776,88774,Mahamad rafik tea stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/BBQ52611961-Mahamad rafik tea stall20240806_1319139mnk.jpeg,14.4602438,75.9076813,Nijalingappa layout main road Davanagere,577004,Davangere,Davanagere,Mahamad,9883526459,Shiva temple,Unknown User,9632388953,1,J,1J
774,88757,Shri venkatesh tea stal,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/REA45837770-Shri venkatesh tea stal20240801_1251184a88.jpeg,14.4503211,75.9244335,Nittavalli Hkr circle Davanagere,577004,Davangere,Davanagere,Venkatesh,9880412275,Hkr circle,Unknown User,9632388953,1,H,1H
773,88739,Alnawaz paradise Bekariy,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/KSR51342317-Alnawaz paradise Bekariy20240726_14426286a.jpeg,14.4641061,75.9101307,Vinobhanagar 2nd main 13 cross Davanagere,577006,Davangere,Davanagere,Alnawaz,7892914698,Vinayak temple,Unknown User,9632388953,1,O,1O
772,88728,Anjanay provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ENS77137697-Anjanay provision store20240722_1213163k4n.jpeg,14.4708656,75.9081928,Devaraj uras Badavane Court road Davanagere,577006,Davangere,Davanagere,Anjanay. B,7204974194,Court road Davanagere,Unknown User,9632388953,1,P,1P
771,88727,Nandish provision store ,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/IEY78592156-Nandish provision store 20240722_1039l14j4.jpeg,14.4706426,75.9067978,Devaraj uras Badavane pooja hotel main road Davanagere,577006,Davangere,Davanagere,Nandish,9980654823,Court road devaraj uras Badavane,Unknown User,9632388953,1,P,1P
770,88702,Varshitha pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/EWP98307134-Varshitha pravison store20240826_1213k9bnh.jpeg,14.443079,75.9232834,Shivakumarswmi layout near park Davanagere ,577004,Davangere,Davanagere,Gm Chandrasekhar,7349315065,Park,Unknown User,9632388953,1,D,1D
769,88684,Harshith pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/OAP24399501-Harshith pravison store20240827_125019d7fb.jpeg,14.4412053,75.9368787,Jaynagar SS hospital road DR circle Davanagere,577004,Davangere,Davanagere,Maruthi,9711185016,SS hospital,Unknown User,9632388953,1,A,1A
768,88678,Manjunath pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HHW06903241-Manjunath pravison store20240828_1112c3c5f.jpeg,14.4499459,75.9307482,Nittaval road Anjaya temple Vasanth nagar Davanagere,577002,Davangere,Davanagere,Manjunath,7619571984,Anjanay temple,Unknown User,9632388953,1,G,1G
767,88671,Manjunath pravejan store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/BPF03643622-Manjunath pravejan store20240719_1038cb83l.jpeg,14.4488745,75.9081496,Anjineya Badavane BIET college road Davanagere,577004,Davangere,Davanagere,Manjunath,9884494562,BIET college road ,Unknown User,9632388953,1,F,1F
758,88459,Spandana paan beed stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/RTE61214578-Spandana paan beed stall20240808_1449d38e6.jpeg,14.4513263,75.9032761,Shamanuru main road green park hotel Davanagere,577004,Davangere,Davanagere,Siddalingappa,9742923098,Green park hotel,Unknown User,9632388953,1,J,1J
757,88422,Basavaraj pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/JBN87056887-Basavaraj pravison store20240817_1255cfok1.jpeg,14.4815589,75.9157975,Budhihal road ghandi nagar Davanagere,577001,Davangere,Davanagere,Basavaraj,9844229791,Budihal road,Unknown User,9632388953,1,U,1U
797,89159,Praveen provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/QUW74093464-Praveen provision store20240725_1010n924a.jpeg,14.4603594,75.907822,MCC A block Ayappaswmi temple Davanagere,577004,Davangere,Davanagere,Nanish,9902693682,Ayappaswmi temple,Unknown User,9632388953,1,J,1J
796,89104,Poornima pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/UHO23604137-Poornima pravison store20240829_1034cg6jb.jpeg,14.4531365,75.9331719,DCM layout kottureswara Badavni 1st main Davanagere,577004,Davangere,Davanagere,Vijya kamth,9972283941,Adishkti temple,Unknown User,9632388953,1,I,1I
795,89101,Poojitha pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/BOD15568521-Poojitha pravison store20240829_1157ncial.jpeg,14.4538955,75.9336735,DCM layout township circle Davanagere,577004,Davangere,Davanagere,Usha,8971182199,Township circle,Unknown User,9632388953,1,I,1I
794,89060,Shri Ram pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/BFS17234591-Shri Ram pravison store20240905_1258lnl3j.jpeg,14.4698279,75.921981,KR market road government Hospital Davanagere,577001,Davangere,Davanagere,Rama,9880528350,Government hospital,Unknown User,9632388953,1,R,1R
793,89009,MALLESH PROVISION STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/GCG54161926-MALLESH PROVISION STORE20240916_144575anh.jpeg,14.4366209,75.9594931,Bada cross gm camp,577514,Davangere,Davanagere,MALLESH,9972382296,Bada cross gm camp,Sanjay kumar s,9964140461,1,A,1A
792,89007,PRAJWAL PROVISION STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/FOC00522627-PRAJWAL PROVISION STORE20240916_16565f94f.jpeg,14.4369484,75.9580409,Nh4 bada cross davanagere,577514,Davangere,Davanagere,Prajeal,8431749233,Nh4 bada cross davanagere,Sanjay kumar s,9964140461,1,A,1A
1892,118815,Rajendr trading co.,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/UOS19675926-Rajendr trading co.20240905_113219begg.jpeg,14.4699638,75.9196961,KR market road chawkipete BT galli Davanagere,577001,Davangere,Davanagere,Mahadev,7019321754,Chawkipete ,Unknown User,9632388953,1,R,1R
1891,118799,Mudakappa beeda stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ZLS40909629-Mudakappa beeda stall20240808_1558i0f1p.jpeg,14.4549153,75.9054425,Shamanuru main road ss mall Davanagere,577004,Davangere,Davanagere,Mudukappa,9972361092,Ss mall,Unknown User,9632388953,1,J,1J
1890,118787,Vishnu provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/RXW65238926-Vishnu provision store20240805_1312dnd3a.jpeg,14.4698154,75.9037845,Vinyak nagar ring road Davanagere,577006,Davangere,Davanagere,Mounesh,8431394936,Ring road ,Unknown User,9632388953,1,P,1P
1889,118783,Vijay kumar beeda stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/AHI82426092-Vijay kumar beeda stall20240821_1541m3kin.jpeg,14.4603653,75.9310821,APMC market old DC office Davanagere,577003,Davangere,Davanagere,Vijay Kumar,9019420846,Old DC office,Unknown User,9632388953,1,N,1N
1888,118752,Chalukya Bekariy&sweets,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/SGK72072104-Chalukya Bekariy&sweets20240723_095011cggc.jpeg,14.4725774,75.9156912,Honda circle Davanagere,577001,Davangere,Davanagere,Prasanth,7760177539,Honda circle,Unknown User,9632388953,1,S,1S
1887,118730,Shri Sangamesh beeda stal,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/VEJ03451174-Shri Sangamesh beeda stal20240802_100716le7a.jpeg,14.4614824,75.9228838,Nittavalli Durgambika temple Davanagere,577004,Davangere,Davanagere,Sangappa,9964919460,Durgambika temple,Unknown User,9632388953,1,N,1N
1886,118727,Mahalakshmi pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/OEU35774282-Mahalakshmi pravison store20240822_100319fb2j.jpeg,14.463468,75.9244528,K B extinction 1 main 4th cross Davanagere,577002,Davangere,Davanagere,Nithin,8762203681,Vinyak temple,Unknown User,9632388953,1,N,1N
1885,118725,Mallikarjun provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/IRX98526873-Mallikarjun provision store20240731_1123g3c9n.jpeg,14.4476921,75.9254266,Nittavalli 60 feet road Davanagere,577002,Davangere,Davanagere,Madhu,8310783543,SBI ATM,Unknown User,9632388953,1,E,1E
1884,118724,Annapurneswari condemnets ,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/DHU37885669-Annapurneswari condemnets 20240725_14191783oe.jpeg,14.462016,75.9145321,Ram&co circle pj extension Davanagere,577004,Davangere,Davanagere,Manuhara,7795313288,Vunyaka temple,Unknown User,9632388953,1,O,1O
1883,118711,Shri vasavi provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ISO21162327-Shri vasavi provision store20240722_144912e3i7.jpeg,14.4738875,75.9113294,Devaraj uras Badavane shivali talkies Davanagere,577006,Davangere,Davanagere,R. Nagaraj,9844403144,Shivali talkies,Unknown User,9632388953,1,P,1P
1881,118709,Verabadreswar pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/WHB12952322-Verabadreswar pravison store20240829_1432i96ee.jpeg,14.4576577,75.9252909,Bhagath Singh Nagar 1st nagar Davanagere,577002,Davangere,Davanagere,Ashok,9964709985,Bhagath Singh nagar,Unknown User,9632388953,1,L,1L
1880,118707,Bread point Bekariy & sweets,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/USD52654578-Bard point Bekariy & sweets20240718_111717351f.jpeg,14.4689724,75.9034878,Kondaji Main road Davanagere,577004,Davangere,Davanagere,Kumar,8073837173,RTO ,Shrikant Bhagwat,9880887507,1,P,1P
1916,119484,GANESH PROVISION STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/RWM47227120-IMG-20241129_1059lif7p.jpeg,14.4412462,75.8974837,Shamanur davanagere,577001,Davangere,Davanagere,Prakash,7259867555,Shamanur davanagere,Sanjay kumar s,9964140461,1,C,1C
1915,119335,CAUVERY BEKARY,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HQH03375944-IMG-20241226_1135ogod1.jpeg,14.4727822,75.9252362,#689/1 n r road ganesha temple davanagere 577001,577001,Davangere,Davanagere,Mallikarjuna,8310643453,#689/1 n r road ganesha temple davanagere 577001,Sanjay kumar s,9964140461,1,Q,1Q
1914,119280,SRI KANTESH STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/XXW03195087-IMG-20250104_1646hdlop.jpeg,14.4501008,75.9160219,Jmat college road davanagere 577001,577001,Davangere,Davanagere,Ravi kumar,9844804301,Jmat college road davanagere 577001,Sanjay kumar s,9964140461,1,E,1E
784,88929,Suresh Provision Store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/VDA31848763-Suresh Provision Store20240927_121115mf1c.jpeg,14.4774703,75.9118714,Vijaynagar badavane davanagere,577001,Davangere,Davanagere,Suresh,8197174196,Vijaynagar badavane davanagere,Sanjay kumar s,9964140461,1,U,1U
783,88904,Ganesh hot chips stall,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/WRZ41392221-Ganesh hot chips stall20240808_13181ah6g3.jpeg,14.4498606,75.9027057,Shamanuru main road Shri ram housing Finance Davanagere,577004,Davangere,Davanagere,Shiva,8270314143,Shri ram housing Finance,Unknown User,9632388953,1,F,1F
782,88890,Reliance smart Bazaar ,2,Supermarket,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/TXP45234105-Reliance smart Bazaar 20240822_161815p03m.jpeg,14.4644464,75.9271358,KB Badavni subramanyam temple PB road Davanagere,577002,Davangere,Davanagere,Ranghanath,9900046957,Subramanyam temple,Unknown User,9632388953,1,N,1N
780,88822,Sursti home needs store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/VKP21182062-Sursti home needs store20240822_1124139l8p.jpeg,14.4602172,75.9258941,KB Badavni Shiddamma park Davanagere,577002,Davangere,Davanagere,Hanumanth raw,9008082006,Shiddamma park,Unknown User,9632388953,1,L,1L
779,88809,Amareswra pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/JDA55919835-Amareswra pravison store20240817_15042d1h1.jpeg,14.4767486,75.9177605,Gandhi nagar Ambedkar circle Davanagere,577001,Davangere,Davanagere,Ambaresh,9880646623,Ambedkar circle,Unknown User,9632388953,1,S,1S
812,89378,Suresh pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ZNB16566330-Suresh pravison store20240817_102712bpm7.jpeg,14.4775374,75.9119346,Mailaralingeswra temple ghandi nagar Davanagere,577001,Davangere,Davanagere,Kumar,8197174196,Mailaralingeswra temple,Unknown User,9632388953,1,U,1U
811,89367,Kunduru pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ZWN05123009-Kunduru pravison store20240810_13166klcp.jpeg,14.4843111,75.9083705,Budal main road SM krishan nagar ring road Davanagere,577006,Davangere,Davanagere,Shankrappa,8423962545,SM krishan nagar ring road ,Unknown User,9632388953,1,V,1V
810,89362,Parigny Bekariy&sweets,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/XIN86397676-Parigny Bekariy&sweets20240727_1214pd9ka.jpeg,14.4757443,75.922791,Ajadhnagar bethur main road Davanagere,577002,Davangere,Davanagere,Hanumanth,6361476796,Bethur main road Davanagere,Unknown User,9632388953,1,T,1T
809,89360,Asvika provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/XKV88162104-Asvika provision store20240723_1319micap.jpeg,14.4713402,75.916575,Kayipete maia road Honda circle Davanagere,577001,Davangere,Davanagere,Kiran. HM,9535373252,Kayi pete,Unknown User,9632388953,1,S,1S
808,89343,Krishan paan beed shop,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/TBC56989464-Krishan paan beed shop20240810_14505dgga.jpeg,14.483798,75.9085552,Budal road rajivgandi badvani RTO Davanagere,577006,Davangere,Davanagere,Monu,7891755090,RTO,Unknown User,9632388953,1,V,1V
807,89342,Chaya provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/SYY00422077-Chaya provision store20240730_144915jjj0.jpeg,14.4594047,75.9200223,Ktj Nagar vidyarti bavan Davanagere,577002,Davangere,Davanagere,Shomu,7353818215,Vidyarti bavan,Unknown User,9632388953,1,J,1J
806,89301,Fresh bakers and Sweets,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HIS53020590-Fresh cakes and Sweets20240817_1119n8533.jpeg,14.4770732,75.9148287,Budihal road ghandi nagar Davanagere,577001,Davangere,Davanagere,Kumar,9611677913,Mailaralingeswra temple,Unknown User,9632388953,1,S,1S
805,89298,Amith patil beed stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HZO45786331-Amith patil beed stall20240819_114710813.jpeg,14.4694144,75.9196752,Tower clock vinayak temple Davanagere,577001,Davangere,Davanagere,Amith kumar,6363096754,Vinyak temple,Unknown User,9632388953,1,O,1O
804,89273,Santhosh pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/QJH64047239-Santhosh pravison store20240820_1412ehj08.jpeg,14.4756134,75.9289042,Bamboo bazar RMC link road Davanagere,577001,Davangere,Davanagere,Santhosh,9883128160,Bamboo bazar,Unknown User,9632388953,1,Q,1Q
803,89222,Savitha provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/DET24513403-Savitha provision store20240807_1332c4e06.jpeg,14.4411342,75.8980653,Shamanuru Anjaney temple Davanagere,577004,Davangere,Davanagere,Mallikarjun,9611331114,Anjaney temple,Unknown User,9632388953,1,C,1C
802,89198,Anjanaya pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/NHR49831701-Anjanaya pravison store20240802_171328pa8.jpeg,14.4530037,75.9291224,Nittavalli Durgambika temple road Davanagere,577004,Davangere,Davanagere,Nagaraj,7019406129,Durgambika temple,Unknown User,9632388953,1,H,1H
801,89184,Sanjay provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/NCO77531023-Sanjay provision store20240730_1422188442.jpeg,14.4592,75.9232309,Ktj Nagar vidyarti bavan Davanagere,577002,Davangere,Davanagere,Manjunath,9844071199,Vidyarti bavan,Unknown User,9632388953,1,L,1L
800,89179,Rafik hotels Conditions,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/MFS25809928-Rafik hotels Conditions20240730_1022cahef.jpeg,14.4600134,75.9217344,Ktj Nagar 3rd main 6th cross Davanagere,577002,Davangere,Davanagere,Fafik,9972577567,Shivappa circle,Unknown User,9632388953,1,L,1L
799,89167,Shri Vingeswar Bekariy,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/QGK92361453-Shri Vingeswar Bekariy20240726_150112c080.jpeg,14.4633046,75.9097507,Vinobhanagar 2nd main 12 cross Davanagere,577006,Davangere,Davanagere,Chandrappa,7829874480,Vinayak temple,Unknown User,9632388953,1,O,1O
798,89166,Shrinevash beeda satal,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/PGY84575128-Shrinevash beeda satal20240726_135610hi66.jpeg,14.4621451,75.9098285,Vinobhanagar 2nd main 15 cross Davanagere,577006,Davangere,Davanagere,Jagnnath,8553785731,Varshiddi vinayak temple,Unknown User,9632388953,1,M,1M
830,89671,Ganesh pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/NMC45375449-Ganesh pravison store20240807_123712hnkp.jpeg,14.4401696,75.899296,Shamanuru Anjaney temple Davanagere,577004,Davangere,Davanagere,Ganesh,9845362634,Anjaney temple,Unknown User,9632388953,1,C,1C
829,89650,Amrutha pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/JAQ96481556-Amrutha pravison store20240802_1556fo63l.jpeg,14.4537826,75.929029,Nittavalli KSRTC road Rashtotthana school Davanagere ,577004,Davangere,Davanagere,Santhosh,9743963855,Rastothana school,Unknown User,9632388953,1,K,1K
828,89647,Maruthi pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/DAI95366567-Maruthi pravison store20240802_1139l1kke.jpeg,14.4548682,75.9249474,Nittavalli Durgambika temple Davanagere,577004,Davangere,Davanagere,Anjjamma,9731331556,Durgambika temple,Unknown User,9632388953,1,K,1K
827,89641,Chandan pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HZF03208054-Chandan pravison store20240801_1400ghdm2.jpeg,14.4502417,75.9260237,Nittavalli HKR circle Hosabadavne,577004,Davangere,Davanagere,Chandan,7892713930,HKR circle hosabadavne,Unknown User,9632388953,1,H,1H
826,89617,Akharam paan beed stal,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HGO61300814-Akharam paan beed stal20240727_1104d0lpl.jpeg,14.4758792,75.9233798,Dodapete market road Davanagere,577002,Davangere,Davanagere,Akhran,8431993384,Masjid,Unknown User,9632388953,1,T,1T
825,89604,Ganesh provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/JXM75984619-Ganesh provision store20240724_1042806p4.jpeg,14.4672298,75.9093268,Vinobhanagar 4th main 2 cross Davanagere,577004,Davangere,Davanagere,Manjamma,6362482386,Ganesh temple,Unknown User,9632388953,1,O,1O
824,89602,Vahisnavi naral store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/KIL15893090-Vahisnavi naral store20240723_1422166eic.jpeg,14.4731839,75.9158104,Honda circle main road Davanagere,577001,Davangere,Davanagere,Manjulamma,7899299121,Honda circle,Unknown User,9632388953,1,S,1S
823,89581,Jayalaksmi pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/IVU40224948-Anudeep pravison store20240826_1307micgf.jpeg,14.4423598,75.928137,Saraswati nagar 2nd main road Panchamuki park Davanagere,577005,Davangere,Davanagere,Akash,7795350218,Panchamuki park,Unknown User,9632388953,1,D,1D
822,89580,Bhavni pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/XSY85239841-Bhavni pravison store20240826_1319161jdh.jpeg,14.4420046,75.9292917,Saraswati nagar 2nd main road panchmukhi park Davanagere,577005,Davangere,Davanagere,Sathish,8722728379,Panchamuki,Unknown User,9632388953,1,D,1D
821,89571,Venkatesh cake palace,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/XGI43597450-Venkatesh cake palace20240827_104813h8eo.jpeg,14.4485492,75.9270002,"Nittvalli 60 feet road 
deepa school Davanagere",577004,Davangere,Davanagere,Manjapa,9686472439,Deepa school,Unknown User,9632388953,1,H,1H
819,89558,Shri ganesh hot chiefs,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/QXE73680203-Shri ganesh hot chiefs20240829_1313jk7lj.jpeg,14.4542325,75.9358887,DCM layout township circle Davanagere,577004,Davangere,Davanagere,Karthik,8150961990,Township circle,Unknown User,9632388953,1,I,1I
818,89546,Gawtham general store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/VAZ11005146-Gawtham general store20240831_155812c4hm.jpeg,14.484389,75.9171403,SPS Nagar ring road opp Indian petrol pump Davanagere,577001,Davangere,Davanagere,Poornima,9611755147,Indian petrol pump,Unknown User,9632388953,1,V,1V
817,89538,Visnave pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HQY25102284-Visnave pravison store20240904_1150png78.jpeg,14.4574741,75.9294611,Bhagath Singh nagar main road visnuvardhan circle Davanagere,577004,Davangere,Davanagere,Prakash,9902461583,Visnuvardhan circle,Unknown User,9632388953,1,K,1K
816,89537,Maruthi pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/YHB68072751-Maruthi pravison store20240904_1350fpejl.jpeg,14.4576605,75.9255614,Baghath singh nagar 1th main 4th cross Davanagere,577004,Davangere,Davanagere,Kumar,9739812590,Vinyak temple,Unknown User,9632388953,1,L,1L
815,89464,Nandine provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/JKC10894339-Nandine pravejan store20240718_16434oanc.jpeg,14.4483729,75.9077027,Anjanay badavane BIET college road Davanagere,577002,Davangere,Davanagere,Vasanth,6361323242,Anjanay badavane,Unknown User,9632388953,1,F,1F
848,90152,Pooja provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/NEL84572805-Pooja provision store20240731_1016hhong.jpeg,14.4464862,75.9218003,Nittavalli 60 feet road Davanagere,577002,Davangere,Davanagere,Basavaraj,7535068831,ITI college ,Unknown User,9632388953,1,D,1D
847,90133,Abdul Zabar tea satl,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/KNB88288225-Abdul Zabar tea satl20240727_140712m36p.jpeg,14.4745459,75.9233131,Chamrajpete main road canera bank Davanagere,577002,Davangere,Davanagere,Abdul Zabar,8123176506,Canera bank,Unknown User,9632388953,1,T,1T
846,90122,Reliance smart point ,2,Supermarket,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/NYF86730269-Reliance smart point 20240725_1128a8ndm.jpeg,14.4610485,75.9169727,PJ extension Ram&co circle Davanagere ,577004,Davangere,Davanagere,Holiyappa,7019160354,Ram&co circle,Unknown User,9632388953,1,J,1J
844,90074,Krishanappa tea stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/XYV00800680-Krishanappa tea stall20240826_1354en94m.jpeg,14.4439185,75.9332627,Jaynagar SS hospital road Davanagere,577004,Davangere,Davanagere,Krishanappa,9980563980,Bhagiratha circle,Unknown User,9632388953,1,D,1D
843,90071,Sajjan my day my cake,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/RPL80284535-Sajjan my day my cake20240827_1135de83g.jpeg,14.4435092,75.9335012,Jaynagar SS hospital road Davanagere,577004,Davangere,Davanagere,Shivamurthi,9004528693,SS hospital,Unknown User,9632388953,1,D,1D
842,90008,Jivan pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/VHY82531065-Jivan pravison store20240905_1204178g9e.jpeg,14.4703595,75.9204722,KR market chawkipete BT galli Davanagere,577001,Davangere,Davanagere,Manjunath,9538296366,Chawkipete,Unknown User,9632388953,1,R,1R
841,89846,Renuk provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/YVA52178631-Renuk provision store20240725_1457bn9hg.jpeg,14.4615087,75.912423,Pj extension Davanagere ram&co circle Davanagere,577004,Davangere,Davanagere,Arunkumar,8073186154,Ram&co circle ,Unknown User,9632388953,1,J,1J
839,89827,Shideswra beeda stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/WTV20758289-Shideswra beeda stall20240819_1215bnab9.jpeg,14.4693823,75.9183198,Tower clock vasanth road vinyak temple Davanagere,577001,Davangere,Davanagere,Sujathmma,7975118100,Vasanth road,Unknown User,9632388953,1,O,1O
838,89810,Reliance smart Bazaar,2,Supermarket,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/TCC62355291-Reliance smart Bazaar20240819_13209j5om.jpeg,14.4677589,75.9174957,NSK Complex Renuka mandira PB road Davanagere,577001,Davangere,Davanagere,Shanthamurthi,9743477116,Renuka mandira,Unknown User,9632388953,1,O,1O
837,89809,Shri bhavni tea stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/TCE00753497-Shri bhavni tea stall20240819_151865aka.jpeg,14.4688973,75.9197124,Tower clock vinyak temple Davanagere,577001,Davangere,Davanagere,Vijay Kumar,9964490687,Tower clock,Unknown User,9632388953,1,O,1O
836,89806,Anjaney general store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/SHX02173919-Anjaney general store20240807_1220hhbo4.jpeg,14.4400815,75.8994556,Shamanuru Anjaney temple Davanagere,577004,Davangere,Davanagere,Hanumantha,8549930772,Anjaney temple,Unknown User,9632388953,1,C,1C
